City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,letterkenny,54.95,-7.7333,62.44,98,100,8.81,IE,1722813078
139,port isabel,26.0734,-97.2086,91.49,73,0,12.66,US,1722813078
140,khandyga,62.6667,135.6,63.3,50,78,5.86,RU,1722813078
141,nadvoitsy,63.8667,34.3167,46.38,97,59,6.35,RU,1722813079
142,poronaysk,49.2167,143.1167,56.37,73,18,3.71,RU,1722812910
143,hinton,53.4001,-117.5857,58.84,96,100,5.7,CA,1722813079
144,souillac,-20.5167,57.5167,68.86,75,38,7.74,MU,1722813079
145,nar'yan-mar,67.6713,53.087,43.12,78,97,14.45,RU,1722813079
146,jiuquan,39.7432,98.5174,77.81,20,89,8.03,CN,1722813079
147,beyneu,45.3167,55.2,83.34,34,67,2.86,KZ,1722813080
148,arraial do cabo,-22.9661,-42.0278,72.97,85,0,27.16,BR,1722813080
149,galesburg,40.9478,-90.3712,87.76,71,0,6.91,US,1722812963
150,ujae,8.9322,165.7642,83.53,77,17,10.63,MH,1722813080
151,suva,-18.1416,178.4415,74.68,73,75,9.22,FJ,1722813026
152,najran,17.4924,44.1277,88.45,27,100,2.55,SA,1722813081
153,safi,32.1667,-8.8333,73.18,66,0,5.59,MA,1722813081
154,katsuren-haebaru,26.3369,127.8719,87.1,85,40,8.05,JP,1722813081
155,college,64.8569,-147.8028,75.45,53,75,5.75,US,1722813081
156,auki,-8.7676,160.7034,76.82,93,100,4.34,SB,1722813081
157,lib,8.3122,167.3766,83.48,77,16,10.89,MH,1722813081
158,buka,40.8108,69.1986,71.71,26,89,7.99,UZ,1722813082
159,qulsary,46.9531,54.0198,78.01,49,3,7.81,KZ,1722813082
160,port douglas,-16.4833,145.4667,71.44,79,69,11.97,AU,1722813082
161,crowley,30.2141,-92.3746,95.04,60,54,7.43,US,1722813082
162,suizhou,31.7111,113.3631,81.27,88,100,8.32,CN,1722813082
163,ust-nera,64.5667,143.2,57.72,61,25,3.22,RU,1722813083
164,hadibu,12.65,54.0333,78.21,83,92,21.88,YE,1722813083
165,la foa,-21.7108,165.8276,69.42,52,39,12.86,NC,1722813083
166,kolonia,50.9333,6.95,64.94,84,0,2.3,DE,1722813083
167,beau vallon,-20.4189,57.6953,66.22,72,13,9.1,MU,1722813083
168,saipan,15.1355,145.701,84.9,84,0,10.36,MP,1722813083
169,atafu village,-8.5421,-172.5159,81.9,80,83,12.64,TK,1722813084
170,alice springs,-23.7,133.8833,45.95,100,100,5.75,AU,1722813084
171,gasa,31.5,34.4667,78.67,63,0,2.73,PS,1722813084
172,st. paul,44.9444,-93.0933,81.88,69,75,9.22,US,1722813084
173,codrington,-38.2667,141.9667,43.97,71,100,6.46,AU,1722813084
174,naregal,15.5833,75.8167,72.32,88,98,13.89,IN,1722813084
175,selfoss,63.9331,-20.9971,52.05,82,100,23.06,IS,1722813084
176,margate,51.3813,1.3862,60.31,79,76,10.76,GB,1722813085
177,salekhard,66.53,66.6019,47.97,63,100,22.35,RU,1722813085
178,puerto baquerizo moreno,-0.9,-89.6,68.27,82,55,12.53,EC,1722813085
179,la ronge,55.1001,-105.2842,66.92,34,52,5.5,CA,1722813085
180,nuriootpa,-34.4833,139.0,50.65,83,100,3.09,AU,1722813085
181,soderhamn,61.3037,17.0592,52.95,92,48,4.05,SE,1722813085
182,dingtao,35.0683,115.5625,79.66,95,100,5.61,CN,1722813086
183,saudarkrokur,65.7461,-19.6394,54.36,70,92,8.57,IS,1722813086
184,port alfred,-33.5906,26.891,54.72,61,50,23.85,ZA,1722813086
185,yabelo,4.8833,38.0833,63.21,64,99,7.65,ET,1722812967
186,stanley,54.868,-1.6985,59.72,93,40,6.91,GB,1722813086
187,happy valley-goose bay,53.3168,-60.3315,69.94,56,30,8.84,CA,1722813086
188,marsh harbour,26.5412,-77.0636,83.95,78,75,16.6,BS,1722813086
189,hamilton,39.1834,-84.5333,90.88,56,0,9.22,US,1722813087
190,kaa-khem,51.6833,94.7333,61.74,88,69,2.35,RU,1722813087
191,san patricio,28.017,-97.5169,92.53,46,5,14.65,US,1722813087
192,sungai raya,0.7,108.9,76.84,92,70,6.11,ID,1722813087
193,yumaguzino,52.9041,56.3933,58.55,84,96,4.41,RU,1722813087
194,gorzyce,50.6672,21.8401,66.2,82,100,6.42,PL,1722813087
195,marka,1.7159,44.7717,75.42,72,99,16.58,SO,1722813088
196,refahiye,39.9008,38.7667,60.37,59,0,3.91,TR,1722813088
197,sisimiut,66.9395,-53.6735,48.7,74,90,4.9,GL,1722813088
198,maceio,-9.6658,-35.7353,72.84,94,40,5.75,BR,1722813003
199,enewetak,11.3474,162.3373,83.95,76,78,9.46,MH,1722813088
200,tongchuanshi,35.0806,109.0897,75.69,83,37,2.39,CN,1722813088
201,urengoy,65.9667,78.3667,52.12,60,100,14.81,RU,1722813089
202,gamay,12.3854,125.2979,78.42,92,100,5.08,PH,1722813089
203,tazacorte,28.629,-17.9293,74.16,90,40,13.8,ES,1722813089
204,bonthe,7.5264,-12.505,76.84,86,100,5.66,SL,1722813089
205,kralendijk,12.15,-68.2667,85.98,74,20,14.97,BQ,1722813015
206,kegalle,7.2532,80.3454,72.79,96,79,3.69,LK,1722813089
207,kovdor,67.5662,30.4758,50.49,83,65,1.97,RU,1722813089
208,olinda,-8.0089,-34.8553,74.93,88,40,13.8,BR,1722812871
209,miandoab,36.9694,46.1027,74.7,42,0,4.68,IR,1722813090
210,kroya,-7.6331,109.2461,74.43,90,82,3.62,ID,1722813090
211,colonia,50.9333,6.95,64.94,84,0,2.3,DE,1722813083
212,huarmey,-10.0681,-78.1522,64.35,80,6,10.18,PE,1722813090
213,holualoa,19.6228,-155.9522,80.44,81,75,10.36,US,1722813090
214,sao jose da coroa grande,-8.8978,-35.1478,74.64,81,42,14.63,BR,1722812833
215,tuchkovo,55.6011,36.4681,58.8,96,0,4.47,RU,1722813091
216,longjiang,47.3303,123.1836,73.44,85,95,5.01,CN,1722813091
217,syktyvkar,61.6764,50.8099,62.33,100,100,6.71,RU,1722813091
218,yermentau,51.6214,73.1069,58.39,79,8,8.21,KZ,1722813091
219,pangkalan brandan,4.0238,98.2782,74.46,93,100,1.16,ID,1722813091
220,adrar,20.5022,-10.0711,87.4,39,100,10.16,MR,1722813091
221,krasnobrodskiy,54.1581,86.4486,59.29,93,42,4.0,RU,1722813092
222,harlingen,26.1906,-97.6961,93.06,81,20,12.66,US,1722813074
223,elizabeth city,36.2946,-76.2511,81.0,80,0,14.97,US,1722813092
224,katsuura,35.1333,140.3,79.72,80,14,2.98,JP,1722813092
225,lospalos,-8.5186,127.0025,70.41,83,100,6.24,TL,1722813092
226,vilyuchinsk,52.9306,158.4028,62.87,70,50,2.1,RU,1722813092
227,harstad,68.799,16.5293,60.19,76,51,2.46,NO,1722813092
228,viedma,-40.8135,-62.9967,55.18,39,100,8.9,AR,1722812965
229,pak phanang,8.3511,100.202,77.49,85,100,7.94,TH,1722813093
230,faya-largeau,17.9257,19.1043,90.07,50,94,12.71,TD,1722813093
231,tsiombe,-25.3,45.4833,61.39,94,0,3.78,MG,1722813093
232,kingston,17.997,-76.7936,88.75,66,20,19.57,JM,1722813093
233,elliot lake,46.3834,-82.6331,74.12,55,66,8.23,CA,1722813093
234,saiha,22.4833,92.9667,73.31,99,100,1.1,IN,1722813094
235,hecun,36.5333,114.1111,78.21,81,0,1.81,CN,1722813094
236,ta`u,-14.2336,-169.5144,80.19,65,100,4.38,AS,1722813094
237,pacific grove,36.6177,-121.9166,78.64,89,75,11.5,US,1722813094
238,hithadhoo,-0.6,73.0833,83.16,75,100,12.55,MV,1722813094
239,punta arenas,-53.15,-70.9167,32.11,100,100,3.44,CL,1722812903
